MJD,Temperature [mdC]
57933.88447,44195
57933.88448,44195
57933.88449,44195
57933.8845,44195
57933.88452,44195
57933.88453,44199
57933.88454,44199
57933.88455,44199
57933.88456,44199
57933.88457,44199
57933.88459,44199
57933.8846,44199
57933.88461,44199
57933.88462,44199
57933.88463,44199
57933.88464,44199
57933.88466,44195
57933.88467,44195
57933.88468,44195
57933.88469,44195
57933.8847,44195
57933.88471,44195
57933.88472,44195
57933.88474,44195
57933.88475,44195
57933.88476,44195
57933.88477,44195
57933.88478,44195
57933.88479,44195
57933.88481,44195
57933.88482,44195
57933.88483,44195
57933.88484,44195
57933.88485,44195
57933.88486,44195
57933.88487,44195
57933.88489,44195
57933.8849,44195
57933.88491,44195
57933.88492,44195
57933.88493,44195
57933.88494,44195
57933.88496,44195
57933.88497,44195
57933.88498,44195
57933.88499,44191
57933.885,44195
57933.88501,44191
57933.88503,44191
57933.88504,44191
57933.88505,44191
57933.88506,44191
57933.88507,44191
57933.88508,44191
57933.88509,44191
57933.88511,44191
57933.88512,44191
57933.88513,44191
57933.88514,44191
57933.88515,44191
57933.88516,44191
57933.88518,44187
57933.88519,44187
57933.8852,44187
57933.88521,44187
57933.88522,44187
57933.88523,44187
57933.88525,44187
57933.88526,44187
57933.88527,44187
57933.88528,44187
57933.88529,44187
57933.8853,44184
57933.88531,44187
57933.88533,44184
57933.88534,44187
57933.88535,44184
57933.88536,44187
57933.88537,44184
57933.88538,44184
57933.8854,44184
57933.88541,44187
57933.88542,44187
57933.88543,44187
57933.88544,44187
57933.88545,44187
57933.88547,44184
57933.88548,44184
57933.88549,44184
57933.8855,44187
57933.88551,44187
57933.88552,44187
57933.88553,44187
57933.88555,44187
57933.88556,44187
57933.88557,44187
57933.88558,44184
57933.88559,44187
57933.8856,44187
57933.88562,44187
57933.88563,44187
57933.88564,44187
57933.88565,44187
57933.88566,44187
57933.88567,44187
57933.88569,44187
57933.8857,44187
57933.88571,44187
57933.88572,44187
57933.88573,44187
57933.88574,44187
57933.88575,44187
57933.88577,44191
57933.88578,44191
57933.88579,44191
57933.8858,44191
57933.88581,44191
57933.88582,44191
57933.88584,44191
57933.88585,44191
57933.88586,44191
57933.88587,44191
57933.88588,44195
57933.88589,44191
57933.88591,44191
57933.88592,44191
57933.88593,44195
57933.88594,44195
57933.88595,44195
57933.88596,44195
57933.88597,44199
57933.88599,44195
57933.886,44199
57933.88601,44195
57933.88602,44195
57933.88603,44195
57933.88604,44195
57933.88606,44195
57933.88607,44195
57933.88608,44195
57933.88609,44195
57933.8861,44195
57933.88611,44195
57933.88612,44195
57933.88614,44195
57933.88615,44195
57933.88616,44195
57933.88617,44195
57933.88618,44195
57933.88619,44191
57933.88621,44195
57933.88622,44195
57933.88623,44195
57933.88624,44195
57933.88625,44195
57933.88626,44195
57933.88628,44195
57933.88629,44195
57933.8863,44195
57933.88631,44195
57933.88632,44195
57933.88633,44195
57933.88634,44195
57933.88636,44195
57933.88637,44195
57933.88638,44195
57933.88639,44195
57933.8864,44195
57933.88641,44195
57933.88643,44195
57933.88644,44195
57933.88645,44199
57933.88646,44199
57933.88647,44199
57933.88648,44199
57933.8865,44199
57933.88651,44199
57933.88652,44199
57933.88653,44199
57933.88654,44199
57933.88655,44199
57933.88656,44199
57933.88658,44199
57933.88659,44199
57933.8866,44199
57933.88661,44203
57933.88662,44203
57933.88663,44203
57933.88665,44203
57933.88666,44203
57933.88667,44203
57933.88668,44203
57933.88669,44203
57933.8867,44203
57933.88672,44203
57933.88673,44203
57933.88674,44203
57933.88675,44203
57933.88676,44203
57933.88677,44203
57933.88678,44203
57933.8868,44203
57933.88681,44203
57933.88682,44203
57933.88683,44203
57933.88684,44203
57933.88685,44203
57933.88687,44203
57933.88688,44203
57933.88689,44203
57933.8869,44203
57933.88691,44203
57933.88692,44203
57933.88694,44203
57933.88695,44203
57933.88696,44203
57933.88697,44207
57933.88698,44203
57933.88699,44203
57933.887,44203
57933.88702,44203
57933.88703,44203
57933.88704,44203
57933.88705,44203
57933.88706,44203
57933.88707,44203
57933.88709,44203
57933.8871,44203
57933.88711,44203
57933.88712,44203
57933.88713,44203
57933.88714,44203
57933.88716,44203
57933.88717,44203
57933.88718,44203
57933.88719,44203
57933.8872,44203
57933.88721,44203
57933.88722,44203
57933.88724,44203
57933.88725,44203
57933.88726,44203
57933.88727,44203
57933.88728,44203
57933.88729,44203
57933.88731,44203
57933.88732,44203
57933.88733,44203
57933.88734,44203
57933.88735,44203
57933.88736,44203
57933.88737,44203
57933.88739,44203
57933.8874,44203
57933.88741,44203
57933.88742,44203
57933.88743,44203
57933.88744,44203
57933.88746,44203
57933.88747,44207
57933.88748,44207
57933.88749,44207
57933.8875,44207
57933.88751,44207
57933.88753,44207
57933.88754,44207
57933.88755,44207
57933.88756,44207
57933.88757,44207
57933.88758,44207
57933.88759,44210
57933.88761,44207
57933.88762,44207
57933.88763,44210
57933.88764,44210
57933.88765,44207
57933.88766,44210
57933.88768,44207
57933.88769,44207
57933.8877,44210
57933.88771,44210
57933.88772,44210
57933.88773,44210
57933.88775,44210
57933.88776,44207
57933.88777,44210
57933.88778,44210
57933.88779,44210
57933.8878,44210
57933.88781,44210
57933.88783,44210
57933.88784,44210
57933.88785,44210
57933.88786,44210
57933.88787,44210
57933.88788,44207
57933.8879,44210
57933.88791,44210
57933.88792,44210
57933.88793,44210
57933.88794,44207
57933.88795,44210
57933.88797,44210
57933.88798,44207
57933.88799,44210
57933.888,44210
57933.88801,44210
57933.88802,44210
57933.88803,44210
57933.88805,44210
57933.88806,44210
57933.88807,44210
57933.88808,44214
57933.88809,44214
57933.8881,44214
57933.88812,44214
57933.88813,44214
57933.88814,44214
57933.88815,44214
57933.88816,44214
57933.88817,44214
57933.88819,44214
57933.8882,44214
57933.88821,44214
57933.88822,44214
57933.88823,44214
57933.88824,44214
57933.88825,44214
57933.88827,44214
57933.88828,44214
57933.88829,44214
57933.8883,44214
57933.88831,44214
57933.88832,44214
57933.88834,44214
57933.88835,44214
57933.88836,44214
57933.88837,44214
57933.88838,44214
57933.88839,44214
57933.88841,44214
57933.88842,44214
57933.88843,44214
57933.88844,44214
57933.88845,44214
57933.88846,44214
57933.88847,44218
57933.88849,44214
57933.8885,44214
57933.88851,44214
57933.88852,44214
57933.88853,44214
57933.88854,44214
57933.88856,44214
57933.88857,44214
57933.88858,44214
57933.88859,44214
57933.8886,44214
57933.88861,44214
57933.88862,44210
57933.88864,44214
57933.88865,44214
57933.88866,44214
57933.88867,44210
57933.88868,44210
57933.88869,44214
57933.88871,44210
57933.88872,44210
57933.88873,44210
57933.88874,44210
57933.88875,44210
57933.88876,44210
57933.88878,44210
57933.88879,44214
57933.8888,44210
57933.88881,44210
57933.88882,44210
57933.88883,44214
57933.88884,44210
57933.88886,44214
57933.88887,44210
57933.88888,44210
57933.88889,44210
57933.8889,44210
57933.88891,44210
57933.88893,44210
57933.88894,44210
57933.88895,44207
57933.88896,44207
57933.88897,44207
57933.88898,44207
57933.889,44207
57933.88901,44207
57933.88902,44207
57933.88903,44207
57933.88904,44203
57933.88905,44207
57933.88906,44203
57933.88908,44203
57933.88909,44203
57933.8891,44203
57933.88911,44203
57933.88912,44203
57933.88913,44203
57933.88915,44203
57933.88916,44203
57933.88917,44203
57933.88918,44203
57933.88919,44203
57933.8892,44203
57933.88922,44203
57933.88923,44203
57933.88924,44203
57933.88925,44203
57933.88926,44203
57933.88927,44207
57933.88928,44207
57933.8893,44203
57933.88931,44207
57933.88932,44203
57933.88933,44203
57933.88934,44207
57933.88935,44203
57933.88937,44203
57933.88938,44203
57933.88939,44203
57933.8894,44203
57933.88941,44203
57933.88942,44203
57933.88944,44203
57933.88945,44199
57933.88946,44199
57933.88947,44199
57933.88948,44199
57933.88949,44199
57933.8895,44199
57933.88952,44199
57933.88953,44199
57933.88954,44199
57933.88955,44195
57933.88956,44195
57933.88957,44195
57933.88959,44199
57933.8896,44199
57933.88961,44195
57933.88962,44195
57933.88963,44195
57933.88964,44195
57933.88966,44195
57933.88967,44199
57933.88968,44199
57933.88969,44199
57933.8897,44199
57933.88971,44199
57933.88972,44199
57933.88974,44195
57933.88975,44199
57933.88976,44199
57933.88977,44199
57933.88978,44199
57933.88979,44199
57933.88981,44199
57933.88982,44199
57933.88983,44199
57933.88984,44195
57933.88985,44195
57933.88986,44199
57933.88987,44199
57933.88989,44199
57933.8899,44195
57933.88991,44195
57933.88992,44199
57933.88993,44195
57933.88994,44195
57933.88996,44195
57933.88997,44195
57933.88998,44195
57933.88999,44195
57933.89,44199
57933.89001,44199
57933.89003,44199
57933.89004,44199
57933.89005,44199
57933.89006,44199
57933.89007,44199
57933.89008,44199
57933.89009,44203
57933.89011,44199
57933.89012,44203
57933.89013,44203
57933.89014,44203
57933.89015,44207
57933.89016,44207
57933.89018,44207
57933.89019,44207
57933.8902,44207
57933.89021,44207
57933.89022,44207
57933.89023,44207
57933.89025,44207
57933.89026,44210
57933.89027,44207
57933.89028,44207
57933.89029,44210
57933.8903,44210
57933.89031,44210
57933.89033,44210
57933.89034,44210
57933.89035,44210
57933.89036,44210
57933.89037,44210
57933.89038,44210
57933.8904,44210
57933.89041,44210
57933.89042,44210
57933.89043,44210
57933.89044,44210
57933.89045,44210
57933.89047,44210
57933.89048,44210
57933.89049,44210
57933.8905,44210
57933.89051,44210
57933.89052,44210
57933.89053,44214
57933.89055,44210
57933.89056,44214
57933.89057,44210
57933.89058,44210
57933.89059,44210
57933.8906,44210
57933.89062,44210
57933.89063,44214
57933.89064,44210
57933.89065,44210
57933.89066,44210
57933.89067,44210
57933.89069,44214
57933.8907,44210
57933.89071,44214
57933.89072,44210
57933.89073,44214
57933.89074,44214
57933.89075,44214
57933.89077,44214
57933.89078,44214
57933.89079,44214
57933.8908,44214
57933.89081,44214
57933.89082,44214
57933.89084,44214
57933.89085,44214
57933.89086,44214
57933.89087,44214
57933.89088,44214
57933.89089,44214
57933.89091,44214
57933.89092,44214
57933.89093,44214
57933.89094,44214
57933.89095,44214
57933.89096,44210
57933.89097,44214
57933.89099,44214
57933.891,44214
57933.89101,44214
57933.89102,44210
57933.89103,44214
57933.89104,44210
57933.89106,44210
57933.89107,44214
57933.89108,44210
57933.89109,44210
57933.8911,44207
57933.89111,44210
57933.89112,44210
57933.89114,44210
57933.89115,44210
57933.89116,44210
