Time(s),S21(MAG),S21(DEG)
0,1.0150405,-6.193181
3.6,1.0151838,-6.1501665
7.2,1.0070306,-5.5711069
10.8,1.0053124,-5.5202737
14.4,0.99985862,-5.3703761
18,1.01044,-5.9307418
21.6,1.0072665,-5.8472428
25.2,1.0050898,-6.0072827
28.8,1.0041444,-5.7491918
32.4,1.0046272,-5.322897
36,1.0070983,-5.5349126
39.6,1.0125896,-5.8788843
43.2,1.0146238,-6.254065
46.8,1.0122529,-6.0631275
50.4,1.0133878,-6.0975842
54,1.0099236,-5.8501744
57.6,1.0127465,-5.9911566
61.2,1.0054314,-5.778223
64.8,1.0032488,-5.7868466
68.4,1.0064237,-5.7821474
72,1.0062525,-5.8770585
75.6,1.0059694,-5.7739992
79.2,1.0034438,-5.5717974
82.8,1.0035356,-5.667016
86.4,1.0066843,-5.422657
90,1.0066105,-5.3961987
93.6,0.99816298,-5.4512568
97.2,1.0015692,-5.1549754
100.8,0.99720925,-4.9187737
104.4,0.99889725,-5.1060982
108,1.0001493,-5.146966
111.6,1.0017927,-4.9276762
115.2,1.0024742,-4.9946699
118.8,0.99834406,-5.0110183
122.4,0.99595553,-5.081707
126,1.0011119,-4.9364815
129.6,0.99736774,-5.1429033
133.2,1.0032727,-5.0192904
136.8,1.0001863,-5.0508223
140.4,1.0003406,-5.0520964
144,1.0010598,-4.9713354
147.6,1.0039189,-5.16258
151.2,1.0000776,-5.0441055
154.8,0.99785328,-5.1691713
158.4,0.99880016,-5.2671237
162,0.99794757,-5.2394571
165.6,1.0028167,-5.0660267
169.2,0.99799436,-5.2187028
172.8,1.0025661,-5.1842265
176.4,0.99818319,-5.3367257
180,0.99907678,-5.2274237
183.6,1.0003679,-5.069593
187.2,0.99949026,-5.2824054
190.8,0.99928701,-5.2237792
194.4,0.99584025,-5.3450527
198,1.0022846,-5.2271295
201.6,0.99921691,-5.3699384
205.2,0.9996168,-5.5601344
208.8,0.99723822,-5.4365687
212.4,1.0008456,-5.4086289
216,0.99521005,-5.5608211
219.6,0.99736416,-5.4453588
223.2,0.99820977,-5.607017
226.8,0.99790895,-5.4602261
230.4,1.0004233,-5.6582317
234,1.0009325,-5.6067557
237.6,0.99760646,-5.8076811
241.2,0.99728179,-5.8252373
244.8,0.99635142,-6.0608568
248.4,0.99621195,-6.0725956
252,0.99558097,-6.0068007
255.6,0.99412054,-5.9351459
259.2,0.99676192,-5.9376764
262.8,0.99604231,-6.1062899
266.4,0.99647236,-6.1233392
270,0.99915332,-6.2301698
273.6,0.99414152,-6.127089
277.2,0.99668431,-6.0630383
280.8,0.99688774,-5.9737864
284.4,1.0008411,-6.1622825
288,0.99596316,-6.014853
291.6,0.99742728,-5.942667
295.2,0.99612117,-6.0069766
298.8,0.99767268,-6.0093074
302.4,0.99519032,-6.0901814
306,0.9998402,-5.9939628
309.6,0.99662286,-6.0379605
313.2,0.9966293,-5.965097
316.8,0.99613208,-5.9920502
320.4,0.9968189,-5.9333143
324,0.99678767,-5.9327054
327.6,0.99729562,-5.9881063
331.2,0.99750245,-5.9203072
334.8,0.99640822,-5.9635849
338.4,0.99763829,-5.9069805
342,1.0007197,-6.2637787
345.6,0.99719751,-6.0341382
349.2,0.99680823,-6.1191025
352.8,0.99826175,-6.0210485
356.4,0.99698299,-6.1787076
360,0.99806434,-6.1429324
363.6,0.99714756,-5.9986053
367.2,0.99952781,-6.0582952
370.8,1.001843,-6.2514939
374.4,1.0020628,-6.275259
378,0.99729627,-6.0682683
381.6,0.99622011,-6.2479243
385.2,0.99615955,-6.2673712
388.8,0.99594378,-6.1673169
392.4,0.99660081,-6.3025579
396,0.99631542,-6.2477622
399.6,0.99777478,-6.2785645
403.2,0.99630439,-6.3007021
406.8,0.99727875,-6.3113751
410.4,0.99683374,-6.3271389
414,0.99794197,-6.4107814
417.6,0.99794656,-6.4347935
421.2,0.99537873,-6.4357495
424.8,0.99742532,-6.3341036
428.4,0.99707675,-6.4936156
432,0.99786454,-6.5152621
435.6,0.99835408,-6.5776372
439.2,0.99585676,-6.6082454
442.8,0.99751389,-6.6274867
446.4,0.99716914,-6.7241611
450,0.99886847,-6.5166368
453.6,0.99707383,-6.7172318
457.2,0.99782914,-6.7236648
460.8,0.99673319,-6.6495686
464.4,0.99634629,-6.7427592
468,0.99715972,-6.8905392
471.6,0.99826199,-6.8180966
475.2,0.99957436,-6.8208165
478.8,0.99824989,-6.8587513
482.4,0.99900866,-6.8804522
486,0.99681395,-6.8719406
489.6,0.99975818,-6.8942776
493.2,0.99725115,-6.9281211
496.8,0.99933982,-7.0911789
500.4,0.99796963,-7.1050463
504,0.99749506,-7.1854
507.6,0.99674845,-7.0866108
511.2,0.99831533,-7.2262444
514.8,0.99669987,-7.3824348
518.4,0.9970926,-7.3613577
522,0.9989149,-7.3210263
525.6,0.99699754,-7.4511423
529.2,0.99940503,-7.4920459
532.8,0.99740338,-7.5269933
536.4,0.99699408,-7.6399951
540,1.0000058,-7.726234
543.6,0.99703658,-7.6600642
547.2,0.99903291,-7.695909
550.8,0.99936724,-7.7007251
554.4,0.99722075,-7.7986813
558,1.0002447,-7.8427844
561.6,0.99812847,-7.7649117
565.2,0.99802858,-7.7243133
568.8,0.99735433,-7.6672006
572.4,0.99609119,-7.758038
576,0.99722964,-7.9465852
579.6,0.99707037,-7.8572202
583.2,0.99681807,-7.9411511
586.8,0.99836737,-7.8682647
590.4,0.99943304,-7.9315367
594,0.99800175,-7.994576
597.6,0.99702519,-8.0317144
601.2,0.9977662,-8.2297077
604.8,0.99694711,-8.0162697
608.4,0.99654353,-8.1872416
612,0.99725723,-8.1229763
615.6,0.99702352,-8.2640295
619.2,0.99908864,-8.3484354
622.8,0.99864703,-8.4733572
626.4,0.99691421,-8.4107342
630,0.99997669,-8.3610144
633.6,0.99935925,-8.4926434
637.2,0.99824667,-8.4965029
640.8,0.99587417,-8.6092911
644.4,0.99906278,-8.6629391
648,0.99940979,-8.7312136
651.6,0.99902838,-8.854003
655.2,0.99684602,-8.7362165
658.8,0.99950033,-8.9140797
662.4,0.9976989,-9.0241728
666,0.99609429,-9.0966949
669.6,0.99911809,-9.1036854
673.2,0.99821061,-9.2303076
676.8,0.99893254,-9.04105
680.4,1.0008256,-9.2873869
684,0.99642003,-9.2473154
687.6,0.99889302,-9.4181223
691.2,0.99656302,-9.4887419
694.8,0.99857891,-9.2818947
698.4,0.99892259,-9.3356457
702,0.99844563,-9.4405289
705.6,0.9977681,-9.4682999
709.2,0.99759036,-9.5271606
712.8,0.99885917,-9.4450693
716.4,0.99827933,-9.5712261
720,0.99718833,-9.5445871
723.6,0.99942452,-9.6752625
727.2,0.99873036,-9.721139
730.8,0.99683768,-9.8754606
734.4,0.99784333,-9.7973318
738,0.99998248,-9.739604
741.6,1.0001454,-9.7917089
745.2,0.99753666,-9.8663006
748.8,0.99772793,-9.7810392
752.4,0.99752277,-9.9564342
756,0.99877721,-9.8598356
759.6,0.99781144,-9.7077723
763.2,0.99752593,-9.8451948
766.8,0.99866199,-9.9174662
770.4,0.99925494,-9.8548584
774,1.0002375,-9.8028164
777.6,0.99867731,-9.8925304
781.2,0.99862593,-9.8882437
784.8,0.99793714,-9.8661032
788.4,0.9986372,-9.9195929
792,0.99820322,-10.004963
795.6,0.99798989,-9.9022684
799.2,0.99962819,-9.9916887
802.8,0.99932033,-9.9770212
806.4,0.99781847,-9.9872456
810,0.99614078,-10.011069
813.6,0.99820083,-10.097619
817.2,0.9979654,-9.9826584
820.8,0.9980585,-9.98701
824.4,0.99873412,-10.088892
828,0.99862921,-10.064383
831.6,0.99861789,-10.017886
835.2,0.99857765,-10.065623
838.8,0.99898386,-10.11498
842.4,0.99961174,-10.005142
846,0.99852276,-10.091149
849.6,0.99988502,-10.069712
853.2,0.99936247,-10.208081
856.8,0.99721378,-10.097
860.4,0.99945682,-10.20834
864,0.9998008,-10.26449
867.6,0.99738085,-10.272407
871.2,0.9993391,-10.279001
874.8,0.99758583,-10.265939
878.4,0.99843717,-10.31541
882,0.99837184,-10.440232
885.6,0.9975667,-10.31771
889.2,0.9974907,-10.246708
892.8,0.99877536,-10.366071
896.4,0.9996568,-10.347075
900,0.99663532,-10.367797
903.6,0.99792045,-10.379422
907.2,0.99654621,-10.292779
910.8,0.99747413,-10.399571
914.4,0.99723357,-10.370051
918,0.99866384,-10.354248
921.6,0.99872345,-10.438803
925.2,0.99782217,-10.343447
928.8,0.99805343,-10.535477
932.4,0.99863219,-10.50928
936,0.99713534,-10.570606
939.6,0.99807674,-10.602212
943.2,0.99771321,-10.425844
946.8,0.99932563,-10.597804
950.4,0.99941528,-10.561241
954,0.99792361,-10.493123
957.6,0.99898607,-10.609649
961.2,0.99997824,-10.64335
964.8,0.99859035,-10.611297
968.4,1.0003889,-10.722183
972,0.99975646,-10.673298
975.6,0.99904656,-10.661027
979.2,0.99741644,-10.767599
982.8,0.99845457,-10.658668
986.4,0.9977743,-10.791512
990,0.99994028,-10.740701
993.6,0.99940729,-10.850716
997.2,0.99846113,-10.953438
1000.8,0.99721116,-10.840557
1004.4,0.99745846,-10.92062
1008,0.99536973,-10.926425
1011.6,0.99697733,-10.830832
1015.2,0.99712968,-10.862256
1018.8,0.99633801,-10.956207
1022.4,0.99598414,-10.929918
1026,0.99647093,-11.054198
1029.6,0.99706328,-11.068693
1033.2,0.99731946,-11.065162
1036.8,0.99627966,-11.081344
1040.4,0.99938828,-10.971916
1044,0.99860466,-11.130948
1047.6,0.99715662,-11.256741
1051.2,0.99747539,-11.168024
1054.8,0.99603671,-11.254722
1058.4,0.99560237,-11.194578
1062,0.99589634,-11.325512
1065.6,0.99730963,-11.341374
1069.2,0.99953181,-11.366295
1072.8,0.99911594,-11.341284
1076.4,0.99885219,-11.384084
1080,0.99997026,-11.332707
1083.6,0.99881494,-11.392638
1087.2,0.99631298,-11.435363
1090.8,0.99666345,-11.391607
1094.4,0.99643278,-11.472292
1098,0.99852407,-11.454389
1101.6,0.99731922,-11.591581
1105.2,0.99952084,-11.62242
1108.8,0.9992612,-11.579313
1112.4,0.99954933,-11.563175
1116,0.99889094,-11.620584
1119.6,1.0004889,-11.591242
1123.2,0.99864036,-11.502367
1126.8,0.99681479,-11.778234
1130.4,1.0003921,-11.716675
1134,0.99525958,-11.779748
1137.6,0.99431908,-11.744382
1141.2,0.99828392,-11.88181
1144.8,0.99813378,-11.926721
1148.4,0.99799246,-11.837736
1152,0.99850422,-11.869815
1155.6,0.99875367,-11.957913
1159.2,0.99864179,-11.884306
1162.8,0.99898899,-12.030037
1166.4,0.99937427,-12.020704
1170,0.99917829,-12.015954
1173.6,1.0003158,-12.039344
1177.2,1.000451,-12.172511
1180.8,0.99901009,-12.134485
1184.4,0.99813199,-12.090991
1188,1.0007153,-12.287175
1191.6,0.99967939,-12.147932
1195.2,1.0008281,-12.211493
1198.8,0.99855775,-12.395713
1202.4,0.99905723,-12.329147
1206,0.99947631,-12.308946
1209.6,0.99997103,-12.262063
1213.2,1.0006772,-12.373735
1216.8,1.000916,-12.380868
1220.4,0.99872959,-12.426013
1224,0.9981336,-12.437764
1227.6,0.99636281,-12.42383
1231.2,0.99743193,-12.526962
1234.8,0.99671489,-12.521235
1238.4,0.99683237,-12.464976
1242,0.99590296,-12.528487
1245.6,0.99657774,-12.485261
1249.2,0.99676853,-12.60705
1252.8,0.99767518,-12.61558
1256.4,0.99615914,-12.560403
1260,0.99741703,-12.598817
1263.6,0.99791414,-12.707839
1267.2,0.99605989,-12.597319
1270.8,0.99908113,-12.620607
1274.4,0.99671769,-12.684913
1278,0.99928612,-12.627467
1281.6,0.99781013,-12.602751
1285.2,0.99842048,-12.644595
1288.8,0.99880213,-12.591461
1292.4,0.99964279,-12.669753
1296,0.99985605,-12.621429
1299.6,0.99996984,-12.621535
1303.2,0.99822307,-12.783907
1306.8,0.99830747,-12.654415
1310.4,0.99782085,-12.70284
1314,0.99770755,-12.741336
1317.6,0.99647319,-12.636493
1321.2,1.0000038,-12.741088
1324.8,0.99709851,-12.776435
1328.4,0.99816132,-12.73837
1332,0.99771339,-12.608731
1335.6,0.9993003,-12.7645
1339.2,0.99776024,-12.755033
1342.8,0.9990586,-12.670488
1346.4,1.0000327,-12.655745
1350,0.99964577,-12.634341
1353.6,0.99763465,-12.532368
1357.2,0.99769568,-12.504397
1360.8,0.99773461,-12.674219
1364.4,0.99826944,-12.558888
1368,0.99683356,-12.620679
1371.6,0.99817353,-12.563142
1375.2,0.9967097,-12.67665
1378.8,1.0002698,-12.844495
1382.4,0.99688846,-12.664386
1386,0.99626327,-12.605271
1389.6,0.99837816,-12.629802
1393.2,1.0004073,-12.588161
1396.8,0.99821699,-12.653377
1400.4,0.99875492,-12.69982
1404,0.99827576,-12.710053
1407.6,1.0001549,-12.690858
1411.2,1.0002174,-12.667625
1414.8,0.99829656,-12.674327
1418.4,0.99936301,-12.730036
1422,0.99580634,-12.715538
1425.6,0.99749923,-12.636778
1429.2,0.99808228,-12.710702
1432.8,0.99515325,-12.684318
1436.4,1.0001501,-12.610427
1440,0.99725467,-12.594243
1443.6,0.99946862,-12.633372
1447.2,0.99808508,-12.843782
1450.8,0.9988454,-12.762022
1454.4,0.99908084,-12.750085
1458,0.99849027,-12.83504
1461.6,0.99830157,-12.934258
1465.2,0.99797225,-12.860788
1468.8,0.99552488,-12.886894
1472.4,0.9974314,-12.896029
1476,0.99948043,-12.974825
1479.6,0.99916375,-12.874228
1483.2,0.99962163,-12.856462
1486.8,0.99705577,-12.902338
1490.4,0.9993059,-12.95224
1494,0.9996146,-13.157644
1497.6,0.99673045,-13.077522
1501.2,0.99764246,-13.042045
1504.8,0.99768239,-13.134971
1508.4,0.99978346,-13.139814
1512,0.99847978,-13.138193
