Time(s),S21(MAG),S21(DEG)
0,0.9954353,-0.061493199
8.64,0.99670994,-0.11231548
17.28,0.99460834,-0.017368535
25.92,0.9971084,0.013705707
34.56,1.0006101,0.29646465
43.2,0.99620545,0.26524666
51.84,0.99795759,0.12009323
60.48,0.99888772,0.38584283
69.12,1.0017121,0.240345
77.76,0.99745387,0.085178591
86.4,0.99473375,-0.031318929
95.04,0.99183786,-0.13969319
103.68,0.99334186,0.001638365
112.32,0.99309874,-0.10593849
120.96,0.99384332,-0.21310039
129.6,0.99461484,-0.20532233
138.24,0.993025,-0.19187723
146.88,1.0005763,0.046485391
155.52,1.000911,-0.017335717
164.16,0.99991035,-0.2254089
172.8,1.0012888,-0.082593165
181.44,0.99940568,-0.18496174
190.08,1.0009241,-0.38907805
198.72,0.99828291,-0.4856129
207.36,0.9939059,-0.54466957
216,0.99434924,-0.54405767
224.64,1.0008312,-0.38350153
233.28,0.99566871,-0.60044664
241.92,0.99900705,-0.56557971
250.56,0.99845701,-0.64007241
259.2,0.99859619,-0.58630794
267.84,0.99554473,-0.69042069
276.48,0.99472541,-0.82863635
285.12,0.99928874,-0.72099221
293.76,0.99988776,-0.74554336
302.4,0.99421948,-0.96197176
311.04,0.99771112,-0.79917204
319.68,0.99415976,-0.78413486
328.32,0.99798387,-0.72734857
336.96,1.0018954,-0.68149817
345.6,0.99856389,-0.77231956
354.24,0.99546093,-0.81197733
362.88,0.99982303,-0.76443321
371.52,1.0015062,-0.66012871
380.16,0.99912536,-0.81138802
388.8,0.99691474,-0.84421551
397.44,0.99257123,-1.0248582
406.08,0.99856448,-0.92483228
414.72,0.99391997,-0.9300403
423.36,0.99854141,-0.91718954
432,1.0008311,-0.79454607
440.64,0.99857134,-0.89502382
449.28,1.0009286,-0.92590183
457.92,1.0001312,-0.87282646
466.56,1.0030304,-0.80676365
475.2,0.99818856,-0.93449312
483.84,1.0014683,-0.89805186
492.48,0.99761307,-0.86818933
501.12,0.99959105,-1.0220928
509.76,0.99684787,-1.0893493
518.4,1.0015973,-0.95843202
527.04,0.99739879,-0.96953535
535.68,0.99880505,-0.91334295
544.32,1.0004317,-1.0974442
552.96,0.99937469,-1.1137667
